Website,Job Title,Category,Company,Date Posted,Location,Status,Salary,Education,Years of Work Expirience,Job Description,Min Salary,Max Salary,Min Years of Work Expirience,Max Years of Work Expirience,Field
Joblum,Senior Process Engineer,Chemical Engineering,PASAR Corporation,2021-05-29,Eastern Visayas,Not Specified,,Not Specified / In Description,Not Specified / In Description,"• Lead a team of Process Engineers to safely deliver the quality and quantity outputs agreed with the Superintendent • Plan activities, schedule work, assign responsibilities to Process Engineers, and monitor projects and countermeasure actions • Create database for prioritization and implementation status and report action plan progress • Conduct weekly Safety walk, audit, and present observations to assist plant safety performance • Provide context for the Team that gives meaning to their work • Assign tasks and ensure that Team Members are qualified to do the tasks • Provide input to Superintendent in developing efficient operating strategies for process area • Develop monitoring tools together with the Process Engineers to monitor operating process parameters • Handle or lead a project or initiative within time duration and budget constraint • Coach Process Engineers in the analysis and investigation of process parameters deviations on a daily, weekly, monthly basis • Investigate and provide recommendations to correct process deviations • Collaborate and conduct “Go and See” activities with Operations and Maintenance Team Leaders in problem solving activities • Ensure that the team provide timely variance report with explanation and actions on metallurgical key performance indicators and specific consumptions • Participate in the design, operational readiness, and commissioning of process-related capital expenditure projects for process area as agreed with project leader and superintendent • Initiate and support the operational/process improvement projects in process area to improve efficiency, increase throughput and decrease cost",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Production Head,Chemical Engineering,Flexo Manufacturing Corp.,2021-05-29,Valenzuela City,OJT,"40,000-52,000",Not Specified / In Description,Not Specified / In Description,Candidate must possess at least Bachelor's/College Degree in Engineering (Chemical) or equivalent. At least 5 Year(s) of working experience in the related field is required for this position. Preferably Supervisor/5 Yrs & Up Experienced Employee specialized in Engineering - Chemical or equivalent.,"40,000","52,000",Not Specified,Not Specified,Engineering
Joblum,Product Development Scientist,Chemical Engineering,Universal Robina Corporation,2021-05-29,National Capital Reg,Contract,"25,000-30,000",Not Specified / In Description,Not Specified / In Description,"OPEN POSITIONS IN THE CATEGORIES OF: Snacks, Bakery and Beverage POSITION OVERVIEW This role will work on materials and/or processes to create pipelines of consumer centric products and platform projects. He or she will work on new scientific technologies and advancements to find solution/scientific evidence to emerging trends and support sustainability projects. The Product Development Scientist for Beverage will focus on building a bank of product signatures and winning solutions by using his/her knowledge and expertise on beverages. He or she uses his or her expertise in hot &fill, UHT processes, powdered and RTD technologies and other unit operations. He or she is also tasked to support the commercialization of first-of-a-type technology in countries. RESPONSIBILITIES Create a stong scientific platform for the creation of new products leveraging consumer immersions, Kano analysis, DOE, Systat etc.. Creates hypothesis based on consumer information and creates trial plans for testing. Conducts laboratory and/or plant trials to come-up with a prototype sample with the target product design or application. Validates the hypothesis using a range of techniques including physical/chemical/sensorial tests. Uses the appropriate testing panels - e.g internal panel for QDA, or a consumer panel, and uses the appropriate qualitative/quantitative testing approach. Identify and approve new ingredients to support innovation projects. Shortlists raw materials and/or flavors and/or flavour keys for innovation projects and is responsible for making these choices. Works with Commercialization teams, Suppliers, Regional R&D, and/or Marketing, on consumer-focused and related product opportunities Generates and maintains project records and monthly status summary Holds primary responsibility for technology transfer and documentations. Conducts trainings and cascades on innovations and new technologies QUALIFICATIONS Candidate must possess a Bachelor's Degree in BS Food Technology, BS Food Science, BS Chemistry, BS Chemical Engineering, or other related coursesInstrumentation and Control Engineering required for Snacks Category At least 3 years experience, preferably in the FMCG industry with technical depth and knowledge in processes and ingredients involved in their respective category (snacks, beverage, bakery). Must have good knowledge on food processes (Food Science, Process Engineering) and has good attention to detail Possesses good analytical, interpersonal and problem solving skills with proficient computer and reporting skills Overall good project management skills Must be curious, creative and always thinking of better ways to innnovate products!","25,000","30,000",Not Specified,Not Specified,Engineering
Joblum,Process Engineer,Chemical Engineering,"Pacific Paint (Boysen) Philippines, Inc.",2021-05-28,National Capital Reg,Not Specified,"19,000-20,500",Not Specified / In Description,Not Specified / In Description,"Responsibilities: Responsible for day -to- day production activities to achieve optimum product yield, optimum performance and utilization of man power, machine, method and materials. Oversees production in the area to ensure that process, equipment and support facilities are operated in accordance with standard operating procedures Responsible for the implementation of all guidelines and policies on Safety, Housekeeping and Security in the area. Qualifications: Candidate must possess at least a Bachelor's/College Degree, Non-Professional/ Professional Licensed Engineering (Chemical), Engineering (Mechanical) or equivalent. Required skill(s): MS Powerpoint, MS Word. Required language(s): English, Filipino Applicants must be willing to work in Quezon City or Trece Martirez, Cavite No work experience required.","19,000","20,500",Not Specified,Not Specified,Engineering
Joblum,Service Engineer,Chemical Engineering,Aquasolv Philippines Inc.,2021-05-27,Makati City,Full Time,"13,000-15,000",Not Specified / In Description,Not Specified / In Description,"Qualifications: 1)	Candidate must possess at least Bachelor's/College Degree in Chemical Engineering. 2)	Willing to undergo training on water treatment. 3)	Willing to travel within Metro Manila and nearby provinces 4)	Preferably less than 1 year experience specialized in Engineering - Chemical or equivalent. 5)	Strong communication and people skills are essential in the field. Job description: 1)	Carry out periodic inspection on clients' cooling systems and boilers, diagnose, and rectify any faults in the system. 2)	Visit assigned accounts on a weekly basis to conduct chemical dosing, water sampling and water analysis (PH, TDS, CaCo3, Alkalinity, Conductivity, Chloride, etc.). 3)	Communicate technical information to Engineers, personnel or authorized personnel on site 4)	Address inquiries, concerns and request related to the product and services. 5)	Conduct regular on-the-spot inventory of equipment and chemicals 6)	Submit weekly accomplishment report, itinerary, liquidations and service reports. 7)	Must show leadership qualities and ability to work under minimum supervision.","13,000","15,000",Not Specified,Not Specified,Engineering
Joblum,CADET ENGINEER,Chemical Engineering,JG Summit Petrochemical Corp.,2021-05-27,Calabarzon & Mimaropa,Full Time,,Not Specified / In Description,Not Specified / In Description,"Entry-level position which serves as training ground for the new employee in preparation for a more in-depth Process Engineering task involving process improvement & technical support; technology development and engineering project development & administration. Bachelors Degree in Chemical Engineering (licensed) With outstanding scholastic records, preferably with honors. Applicants must be willing to work in BATANGAS CITY. 2 Full-Time position(s) available.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,BIDDER (GOVERNMENT/PRIVATE,Chemical Engineering,POLYMER PRODUCTS PHILIPPINE INCORPORATED,2021-05-27,Pasig City,Full Time,"14,000-15,000",Not Specified / In Description,Not Specified / In Description,"Below is a brief overview of the role, not a full job description Executes all aspects of contracting with the City, to include preparing bid/proposal specifications, research, drafting contract language, preparing, and maintaining related reports, and crafting of letters to terminate or renegotiate. The primary goal of this position is to ensure professional service agreements are compliant with government, private, and local regulations and are completed as specified and within time and budget constraints. Perform other related duties as required. Job Types: Full-time, Part-time, Contract, Permanent","14,000","15,000",Not Specified,Not Specified,Engineering
Joblum,TECHNICAL & COLLECTION SPECIALIST/MANAGER,Chemical Engineering,Firmenich Philippines,2021-05-27,Taguig City,OJT,,Not Specified / In Description,Not Specified / In Description,"Key Responsibilities: • Manage local fragrance collection, including the briefing of proactive & reactive work if required • Selection of local fragrances for small projects, active participation in client meeting for such projects • Carry out fragrance training internally and for clients, as well as contributing to and presenting the olfactive part of CMI presentation • Ensures that knowledge and understanding of olfactive trends in Philippines is kept up to date and communicated internally and to the CDC (Creative Development Centre) • Promotion of basic Firmenich’s perfume technologies to clients • Perform independently complex lab activities (making samples for evaluation for self, for client submissions and for market test projects) • Compliance with HSE procedures and propose proactively improvements We value: • A Bachelor's degree in Chemistry, Biochemistry or similar/related fields; • A Minimum 2 years’ of relevant lab experience • Possess business presentation skills • Independent, proactive, dynamic, multi-task, and flexible team player within a multi-cultural team; • Highly proficient in MS Office (Excel, Power point) and presentation tools • Have interest in FMCG products and their fragrances",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,QA Associate,Chemical Engineering,Not Specified,2021-05-27,Caloocan City,Contract,,Not Specified / In Description,Not Specified / In Description,"This role monitors changes in all aspects of manufacture for all products marketed by the company to avoid confusion and improve quality of manufacture. It involves controlling all documents for Quality Control & Assurance. Job Responsibilities Gathers information on the type of change requested by the different departments including but not limited to Bill of Materials (BOM), manufacturing processes, specifications, packaging materials, and TPMs Provides status updates to the change requester Reviews change plans and schedules Plans the activities related to the change which include the following: - Assessing the risks and impact of the changes to the whole manufacturing process, management, and equipment or instrumentation - Creating plans and defining and sequencing the tasks needed to accomplish the change request - Scheduling people and resources for each task Reviews all completed tasks and informs the relevant stakeholders Conducts post-implementation reviews to validate the results of the change request Keeps all laboratory results, product complaint forms, and other records under the Quality Department Handles all document control activities of the Quality organization Job Qualifications Graduate of BS Chemical Engineering, Chemistry, Pharmacy, Industrial Engineering, or other related courses Has at least 2 years of work experience in Quality Control, change control, and documentation activities Computer literate with good interpersonal and communication skills (both oral and written), wellorganized at work Amenable to report to work in Caloocan ",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Service Engineer,Chemical Engineering,Aquasolv Philippines Inc.,2021-05-27,Makati City,Full Time,"13,000-15,000",Not Specified / In Description,Not Specified / In Description,"Qualifications: 1)	Candidate must possess at least Bachelor's/College Degree in Chemical Engineering. 2)	Willing to undergo training on water treatment. 3)	Willing to travel within Metro Manila and nearby provinces 4)	Preferably less than 1 year experience specialized in Engineering - Chemical or equivalent. 5)	Strong communication and people skills are essential in the field. Job description: 1)	Carry out periodic inspection on clients' cooling systems and boilers, diagnose, and rectify any faults in the system. 2)	Visit assigned accounts on a weekly basis to conduct chemical dosing, water sampling and water analysis (PH, TDS, CaCo3, Alkalinity, Conductivity, Chloride, etc.). 3)	Communicate technical information to Engineers, personnel or authorized personnel on site 4)	Address inquiries, concerns and request related to the product and services. 5)	Conduct regular on-the-spot inventory of equipment and chemicals 6)	Submit weekly accomplishment report, itinerary, liquidations and service reports. 7)	Must show leadership qualities and ability to work under minimum supervision.","13,000","15,000",Not Specified,Not Specified,Engineering
Joblum,CHEMICAL ENGINEER,Chemical Engineering,PGSTI,2021-05-25,Muntinlupa City,Not Specified,"22,000-25,000",Not Specified / In Description,Not Specified / In Description,QUALIFICATIONS: Graduate of BS Chemical Engineering With PRC license With technical knowledge in Waste Water Treatment for at least 2 years Must be willing to with minimal supervision in a very fast-paced environment Having a driver's license is an advantage,"22,000","25,000",Not Specified,Not Specified,Engineering
Joblum,Plating Engineer,Chemical Engineering,Tong Hsing Electronics (Phils.) Inc.,2021-05-25,Laguna (Calamba City),Not Specified,,Not Specified / In Description,Not Specified / In Description,"1. BS Chemical Engineering graduate 2. Preferably with experience in Plating Process 3. Know-how with Copper, Nickel and Gold Plating 4. Experience in Yield and Scrap Improvement Initiatives 5. Value Engineering and Process Improvement Initiatives 6. Versatile and fast learner, must have a positive disposition, with good leadership skills and results-oriented.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Material Compliance Specialist,Chemical Engineering,Nidec Motor Philippines Corporation,2021-05-25,Mandaluyong City,Full Time,,Not Specified / In Description,Not Specified / In Description,"Responsibility/Accountability Statement The major responsibilities of Compliance Specialist are the collection, organization, and analysis of material declaration for Nidec Motor Corporation. He/she is responsible for supplier outreach activities, manages Nidec Suppliers' compliance documents and compliance database with the supplier information gathered. He/she creates monitoring reports, and escalates issues/concerns to Commodity Managers and Directors of Procurement for those non-responsive suppliers. PRIMARY DUTIES AND RESPONSIBILITIES 1. Provide support in iPoint system modules (iPCMP & iPCA) for ACIM business unit suppliers. 2. Support overall Compliance Program. 3. Prepare reports, parts lists and documentations of all compliance activities regularly. 4. Collaboration with Advance Supplier Quality team for the supplier contacts update in Zycus iSupplier. 5. Provide monthly or quarterly deliverables to local management (e.g. Monthly Dashboard, KPI Report, Key Metrics, Workload Report, Business Review Presentations) JOB SPECIFICATIONS 1. Bachelor's Degree Graduate of Chemical Engineering. For Fresh Graduates with non-Engineering and Supply Chain degree, exposure to Procurement and Supply Chain processes through training or experience 2. Knowledge in MS Excel, MS PowerPoint and in ERP System 3. Proficiency in MS Access and other programming skills 4. Knowledge in Engineering drawings and Material Compliance 5. Manufacturing experience is a plus.",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Senior R&D Engineer,Chemical Engineering,"II-VI Performance Metals, Inc.",2021-05-24,Calabarzon & Mimaropa,OJT,"50,000-60,000",Not Specified / In Description,Not Specified / In Description,"II-VI is a world leader in advanced material development based in the USA. Our facility in Cavite has a reputation as a leader in the production of specialty chemicals and metals, including rare metals for advanced manufacturing applications. We have an exciting opportunity for a highly motivated Senior Research and Development Engineer with Chemical/Metallurgical Engineering qualifications and excellence KEY JOB DUTIES & RESPONSIBILITIES: As a Senior Research & Development Engineer focusing on new product/process development, the incumbent will advance processes for laboratory, pilot, and full-scale manufacturing. This position emphasizes the ability to assimilate and apply knowledge from a combination of disciplines including chemistry, chemical engineering, and material science. The Sr. R&D Engineer will supervise less senior R&D engineers and provide support and feedback in their projects. The person in this role is a proactive, critical, and creative thinker and is eager to solve problems and share new ideas and solutions. Must have Qualifications: B.S. Degree in Chemistry, Chemical Engineering, Metallurgical Engineering, Materials Science, or Metallurgy, preferably with Master’s degree At least five (5) years of experience in extractive metallurgy, analytical chemistry or a related field is required Hands-on experience in developing and documenting production processes and equipment preferably in a hydrometallurgical, extractive chemistry or mining engineering setup. In-depth knowledge of standard chemical laboratory methods and practices with hands-on experience in operating analytical tools such as AAS, ICP-MS, GDMS, OES and XRF. Understanding of DOE and statistical data analysis. High level of flexibility and collaborative relationship skills, leads change, can adapt quickly, forward and conceptual thinker, has a strong desire to reach goals and work to strict timeliness Clear and effective written and verbal communication skills. Ability to make detailed observations, write technical reports, write up test plan, manage work time and meet deadlines for multiple projects Strong computer skills. Knowledge in the use of SPC tools such as Minitab and JMP is a plus. Benefits: Cash-earning capacity up to 16 months annual including Plant-wide Bonus, Cash Conversions of unused leaves and guaranteed 14th month pay Monthly Rice Allowance Comprehensive Health Card coverage extended to one (1) qualified dependent","50,000","60,000",Not Specified,Not Specified,Engineering
Joblum,Technical Staff,Chemical Engineering,PHIL. COCONUT AUTHORITY - Government,2021-05-24,Quezon City,Not Specified,"19,000-20,000",Not Specified / In Description,Not Specified / In Description,"Deadline for accepting applications: May 30, 2021 Place of Assignment: OFAD - StratComm Monthly Salary: Php 20k + 10% premium JOB QUALIFICATIONS Has an excellent command of both English and Filipino language Must be able to write compelling press releases and copies Must be knowledge on data visualization and presentation Must be able to design/prepare effective infographics, visual reports, posters, videos, and other IEC materials Knowledgeable on social media handling/marketing Has great interpersonal skills and can assist different offices in the promotion of their initiatives and undertakings EDUCATIONAL REQUIREMENT Bachelor's Degree NO. OF YEARS IN SERVICE at least 1 year experience *No employee-employer relationship ","19,000","20,000",Not Specified,Not Specified,Engineering
Joblum,"Team Leader, By Products Plant",Chemical Engineering,PASAR Corporation,2021-05-24,Eastern Visayas,Not Specified,,Not Specified / In Description,Not Specified / In Description,"• Plan, lead, organize, control, and manage BPP operations in order to achieve desired decopperized slime, copper telluride, bismuth bisulfate, and nickel sulfate production in the most efficient way • Ensure the production of quality decopperized slime, copper telluride, bismuth bisulfate, and nickel sulfate • Maintain electrolyte parameters within standard • Monitor and evaluate equipment and process performance • Confer with Refinery Management Team to establish production and quality control standards, develop budget, and cost control measures • Develop a logical and effective program, schedule, and plan of action in the operation of the plant • Coordinate production activities with procurement, maintenance, and quality control to obtain optimum production and utilization of human resources, machines, and equipment • Review and analyze production, quality control, maintenance, and operational reports to determine causes of nonconformity with product specifications and operational or production problems • Develop and implement operating methods and procedures designed to eliminate operating problems and improve product quality • Consult with Engineering personnel relative to modification of machines and equipment in order to improve production and quality of products • Support the Superintendent in the budget planning and preparation and ensure the plant operates within budget • Formulate cost reduction program with due emphasis on work simplification, effective manpower utilization, and elimination of waste • Formulate a safety program that will help prevent accidents in the plant • Initiate security measures and carry out all approved security arrangements",Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Chemical Analyst,Chemical Engineering,Kedica Philippines Corporation,2021-05-23,Batangas,Full Time,,Not Specified / In Description,Not Specified / In Description,Candidate must be a Graduate of BS Chemical Engineering or BS Chemistry With or with/out experience Can work under minimum supervision. Willing to be assigned in Sto. Tomas Batangas Can start immediately. Full time position available.,Not Specified,Not Specified,Not Specified,Not Specified,Engineering
Joblum,Research and Development Manager,Chemical Engineering,Flexo Manufacturing Corp.,2021-05-23,National Capital Reg,OJT,,Not Specified / In Description,Not Specified / In Description,Candidate must possess at least Bachelor's/College Degree in Engineering (Chemical) or equivalent. At least 5 Year(s) of working experience in the related field is required for this position. Preferably Assistant Manager/Manager specialized in Engineering - Chemical or equivalent.,Not Specified,Not Specified,Not Specified,Not Specified,Engineering
